Index,rowcount,survived,Class,Location
98,1,1,1st and 2nd,Port
99,1,1,1st and 2nd,Port
100,1,1,1st and 2nd,Port
101,1,1,1st and 2nd,Port
102,1,1,1st and 2nd,Port
103,1,1,1st and 2nd,StarBoard
104,1,1,1st and 2nd,Port
105,1,1,1st and 2nd,StarBoard
106,1,1,1st and 2nd,Port
107,1,1,1st and 2nd,Port
108,1,1,1st and 2nd,StarBoard
109,1,1,1st and 2nd,StarBoard
110,1,1,1st and 2nd,Port
111,1,1,1st and 2nd,StarBoard
112,1,1,1st and 2nd,Port
113,1,1,1st and 2nd,Port
114,1,1,1st and 2nd,Port
115,1,1,1st and 2nd,Port
116,1,1,1st and 2nd,Port
117,1,1,1st and 2nd,StarBoard
118,1,1,1st and 2nd,StarBoard
119,1,1,1st and 2nd,Port
120,1,1,1st and 2nd,StarBoard
121,1,1,1st and 2nd,StarBoard
122,1,1,1st and 2nd,Port
123,1,1,1st and 2nd,StarBoard
124,1,1,1st and 2nd,StarBoard
125,1,1,1st and 2nd,Port
126,1,1,1st and 2nd,StarBoard
127,1,1,1st and 2nd,Port
128,1,1,1st and 2nd,Port
129,1,0,1st and 2nd,
130,1,1,1st and 2nd,Port
131,1,1,1st and 2nd,Port
132,1,1,1st and 2nd,Port
133,1,1,1st and 2nd,#VALUE!
134,1,1,1st and 2nd,Port
135,1,1,1st and 2nd,#VALUE!
136,1,1,1st and 2nd,StarBoard
137,1,1,1st and 2nd,StarBoard
138,1,1,1st and 2nd,Port
139,1,1,1st and 2nd,Port
140,1,1,1st and 2nd,Port
141,1,1,1st and 2nd,Port
142,1,1,1st and 2nd,#VALUE!
143,1,1,1st and 2nd,StarBoard
144,1,1,1st and 2nd,Port
145,1,1,1st and 2nd,Port
146,1,1,1st and 2nd,StarBoard
147,1,1,1st and 2nd,Port
148,1,1,1st and 2nd,StarBoard
149,1,1,1st and 2nd,StarBoard
150,1,1,1st and 2nd,StarBoard
151,1,1,1st and 2nd,StarBoard
152,1,1,1st and 2nd,Port
153,1,1,1st and 2nd,StarBoard
154,1,1,1st and 2nd,Port
155,1,1,1st and 2nd,Port
156,1,1,1st and 2nd,Port
157,1,1,1st and 2nd,StarBoard
158,1,1,1st and 2nd,
159,1,1,1st and 2nd,StarBoard
160,1,1,1st and 2nd,Port
161,1,0,1st and 2nd,
162,1,0,1st and 2nd,
163,1,1,1st and 2nd,Port
164,1,1,1st and 2nd,Port
165,1,1,1st and 2nd,Port
166,1,1,1st and 2nd,Port
167,1,1,1st and 2nd,Port
168,1,1,1st and 2nd,Port
169,1,0,1st and 2nd,
170,1,0,1st and 2nd,
171,1,1,1st and 2nd,Port
172,1,1,1st and 2nd,StarBoard
173,1,1,1st and 2nd,Port
174,1,1,1st and 2nd,
175,1,1,1st and 2nd,
176,1,1,1st and 2nd,Port
177,1,1,1st and 2nd,Port
178,1,1,1st and 2nd,Port
179,1,1,1st and 2nd,Port
180,1,0,1st and 2nd,
181,1,1,1st and 2nd,Port
182,1,1,1st and 2nd,Port
183,1,1,1st and 2nd,StarBoard
184,1,1,1st and 2nd,Port
185,1,1,1st and 2nd,Port
186,1,1,1st and 2nd,StarBoard
187,1,1,1st and 2nd,StarBoard
188,1,1,1st and 2nd,StarBoard
189,1,1,1st and 2nd,StarBoard
190,1,0,1st and 2nd,
191,1,1,1st and 2nd,Port
192,1,1,1st and 2nd,Port
193,1,1,1st and 2nd,Port
194,1,0,1st and 2nd,
195,1,1,1st and 2nd,
196,1,1,1st and 2nd,Port
197,1,1,1st and 2nd,StarBoard
198,1,1,1st and 2nd,Port
199,1,0,1st and 2nd,
200,1,1,1st and 2nd,Port
201,1,1,1st and 2nd,StarBoard
202,1,0,1st and 2nd,
203,1,1,1st and 2nd,Port
204,1,1,1st and 2nd,Port
205,1,1,1st and 2nd,Port
206,1,1,1st and 2nd,Port
207,1,1,1st and 2nd,StarBoard
208,1,1,1st and 2nd,Port
209,1,1,1st and 2nd,
210,1,0,1st and 2nd,
211,1,1,1st and 2nd,Port
212,1,1,1st and 2nd,Port
213,1,1,1st and 2nd,Port
214,1,1,1st and 2nd,
215,1,1,1st and 2nd,StarBoard
216,1,1,1st and 2nd,Port
217,1,1,1st and 2nd,Port
218,1,1,1st and 2nd,StarBoard
219,1,1,1st and 2nd,StarBoard
220,1,1,1st and 2nd,StarBoard
221,1,1,1st and 2nd,StarBoard
222,1,1,1st and 2nd,StarBoard
223,1,1,1st and 2nd,
224,1,1,1st and 2nd,StarBoard
225,1,1,1st and 2nd,Port
226,1,1,1st and 2nd,StarBoard
227,1,1,1st and 2nd,Port
228,1,1,1st and 2nd,Port
229,1,1,1st and 2nd,Port
230,1,1,1st and 2nd,StarBoard
231,1,1,1st and 2nd,Port
232,1,1,1st and 2nd,StarBoard
233,1,1,1st and 2nd,StarBoard
234,1,1,1st and 2nd,StarBoard
235,1,1,1st and 2nd,
236,1,1,1st and 2nd,Port
237,1,0,1st and 2nd,
238,1,1,1st and 2nd,Port
239,1,1,1st and 2nd,Port
240,1,1,1st and 2nd,StarBoard
241,1,1,1st and 2nd,StarBoard
242,1,1,1st and 2nd,Port
243,1,1,1st and 2nd,Port
244,1,1,1st and 2nd,Port
245,1,1,1st and 2nd,Port
246,1,1,1st and 2nd,Port
247,1,1,1st and 2nd,Port
248,1,1,1st and 2nd,Port
249,1,1,1st and 2nd,StarBoard
250,1,0,1st and 2nd,
251,1,1,Steerage,#VALUE!
252,1,1,Steerage,Port
253,1,1,Steerage,#VALUE!
254,1,0,Steerage,
255,1,1,Steerage,StarBoard
256,1,1,Steerage,Port
257,1,0,Steerage,
258,1,0,Steerage,
259,1,1,Steerage,#VALUE!
260,1,0,Steerage,
261,1,0,Steerage,
262,1,0,Steerage,
263,1,0,Steerage,
264,1,0,Steerage,
265,1,1,Steerage,StarBoard
266,1,1,Steerage,StarBoard
267,1,1,Steerage,#VALUE!
268,1,0,Steerage,
269,1,1,Steerage,#VALUE!
270,1,1,Steerage,
271,1,1,Steerage,#VALUE!
272,1,1,Steerage,#VALUE!
273,1,1,Steerage,#VALUE!
274,1,1,Steerage,#VALUE!
275,1,1,Steerage,#VALUE!
276,1,0,Steerage,
277,1,0,Steerage,
278,1,0,Steerage,
279,1,0,Steerage,
280,1,0,Steerage,
281,1,0,Steerage,
282,1,0,Steerage,
283,1,1,Steerage,StarBoard
284,1,0,Steerage,
285,1,0,Steerage,
286,1,0,Steerage,
287,1,0,Steerage,
288,1,0,Steerage,
289,1,0,Steerage,
290,1,0,Steerage,
291,1,1,Steerage,Port
292,1,0,Steerage,
293,1,1,Steerage,StarBoard
294,1,0,Steerage,
295,1,1,Steerage,Port
296,1,1,Steerage,Port
297,1,0,Steerage,
298,1,1,Steerage,StarBoard
299,1,0,Steerage,
300,1,1,Steerage,Port
301,1,1,Steerage,StarBoard
302,1,1,Steerage,Port
303,1,1,Steerage,Port
304,1,1,Steerage,#VALUE!
305,1,1,Steerage,StarBoard
306,1,0,Steerage,
307,1,1,Steerage,
308,1,1,Steerage,Port
309,1,1,Steerage,StarBoard
310,1,0,Steerage,
311,1,0,Steerage,
312,1,0,Steerage,
313,1,0,Steerage,
314,1,1,Steerage,Port
315,1,1,Steerage,StarBoard
316,1,1,Steerage,#VALUE!
317,1,0,Steerage,
318,1,0,Steerage,
319,1,0,Steerage,
320,1,0,Steerage,
321,1,0,Steerage,
322,1,1,Steerage,StarBoard
323,1,1,Steerage,StarBoard
324,1,0,Steerage,
325,1,1,Steerage,Port
326,1,0,Steerage,
327,1,1,Steerage,
328,1,0,Steerage,
329,1,1,Steerage,#VALUE!
330,1,0,Steerage,
331,1,0,Steerage,
332,1,1,Steerage,StarBoard
333,1,1,Steerage,StarBoard
334,1,1,Steerage,
335,1,1,Steerage,#VALUE!
336,1,0,Steerage,
337,1,0,Steerage,
338,1,1,Steerage,#VALUE!
339,1,1,Steerage,StarBoard
340,1,1,Steerage,StarBoard
341,1,0,Steerage,
342,1,0,Steerage,
343,1,0,Steerage,
344,1,0,Steerage,
345,1,1,Steerage,StarBoard
346,1,1,Steerage,Port
347,1,1,Steerage,#VALUE!
348,1,0,Steerage,
349,1,0,Steerage,
350,1,1,Steerage,Port
351,1,1,Steerage,Port
352,1,0,Steerage,
353,1,0,Steerage,
354,1,0,Steerage,
355,1,1,Steerage,StarBoard
356,1,0,Steerage,
357,1,0,Steerage,
358,1,0,Steerage,
359,1,0,Steerage,
360,1,0,Steerage,
361,1,0,Steerage,
362,1,0,Steerage,
363,1,0,Steerage,#VALUE!
364,1,0,Steerage,
365,1,1,Steerage,Port
366,1,1,Steerage,StarBoard
367,1,0,Steerage,
368,1,0,Steerage,
369,1,1,Steerage,Port
370,1,1,Steerage,#VALUE!
371,1,1,Steerage,#VALUE!
372,1,1,Steerage,Port
373,1,1,Steerage,Port
374,1,1,Steerage,StarBoard
375,1,1,Steerage,StarBoard
376,1,1,Steerage,
377,1,0,Steerage,
378,1,0,Steerage,
379,1,0,Steerage,
380,1,0,Steerage,
381,1,0,Steerage,
382,1,1,Steerage,Port
383,1,1,Steerage,Port
384,1,1,Steerage,Port
385,1,1,Steerage,#VALUE!
386,1,1,Steerage,
387,1,1,Steerage,Port
388,1,1,Steerage,StarBoard
389,1,1,Steerage,Port
390,1,1,Steerage,Port
391,1,1,Steerage,Port
392,1,1,Steerage,#VALUE!
393,1,1,Steerage,#VALUE!
394,1,1,Steerage,#VALUE!
395,1,0,Steerage,
396,1,1,Steerage,#VALUE!
397,1,0,Steerage,
398,1,1,Steerage,#VALUE!
399,1,1,Steerage,StarBoard
400,1,1,Steerage,StarBoard
401,1,1,Steerage,
402,1,0,Steerage,
403,1,1,Steerage,#VALUE!
404,1,1,Steerage,
405,1,1,Steerage,#VALUE!
406,1,1,Steerage,StarBoard
407,1,0,Steerage,
408,1,0,Steerage,
409,1,0,Steerage,
410,1,1,Steerage,
411,1,0,Steerage,
412,1,0,Steerage,
413,1,0,Steerage,
414,1,0,Steerage,
415,1,0,Steerage,
416,1,0,Steerage,
417,1,0,Steerage,
418,1,1,Steerage,#VALUE!
419,1,1,Steerage,#VALUE!
420,1,0,Steerage,
421,1,0,Steerage,
422,1,0,Steerage,
423,1,0,Steerage,
424,1,0,Steerage,
425,1,0,Steerage,
426,1,1,Steerage,StarBoard
427,1,0,Steerage,
428,1,0,Steerage,
429,1,0,Steerage,
430,1,0,Steerage,
431,1,1,Steerage,#VALUE!
432,1,0,Steerage,
433,1,0,Steerage,
434,1,0,Steerage,
435,1,0,Steerage,
436,1,0,Steerage,
437,1,1,Steerage,#VALUE!
438,1,1,Steerage,StarBoard
439,1,1,Steerage,StarBoard
440,1,1,Steerage,StarBoard
441,1,1,Steerage,
442,1,1,Steerage,Port
443,1,0,Steerage,
444,1,0,Steerage,
445,1,0,Steerage,
446,1,1,Steerage,StarBoard
447,1,1,Steerage,#VALUE!
448,1,0,Steerage,
449,1,0,Steerage,
450,1,0,Steerage,
451,1,1,Steerage,Port
452,1,1,Steerage,Port
453,1,1,Steerage,#VALUE!
454,1,1,Steerage,#VALUE!
455,1,1,Steerage,StarBoard
456,1,1,Steerage,StarBoard
457,1,0,Steerage,
458,1,0,Steerage,
459,1,0,Steerage,
460,1,0,Steerage,
461,1,0,Steerage,
462,1,1,Steerage,#VALUE!
463,1,1,Steerage,
464,1,1,Steerage,
465,1,0,Steerage,
466,1,0,Steerage,
